Time,LEPDiameter,REPDiameter,Fixation
1616035908264, -1,-1,NULL
1616035908279, -1,-1,NULL
1616035908294, -1,-1,NULL
1616035908309, -1,-1,NULL
1616035908324, -1,-1,NULL
1616035908341, -1,-1,NULL
1616035908355, -1,-1,NULL
1616035908378, -1,-1,NULL
1616035908401, -1,-1,NULL
1616035908422, -1,-1,NULL
1616035908444, -1,-1,NULL
1616035908466, -1,-1,NULL
1616035908489, -1,-1,NULL
1616035908511, -1,-1,NULL
1616035908533, -1,-1,NULL
1616035908559, -1,-1,NULL
1616035908577, -1,-1,NULL
1616035908599, -1,-1,NULL
1616035908622, -1,-1,NULL
1616035908644, -1,-1,NULL
1616035908667, -1,-1,NULL
1616035908688, -1,-1,NULL
1616035908711, -1,-1,NULL
1616035908733, -1,-1,NULL
1616035908755, -1,-1,NULL
1616035908780, -1,-1,NULL
1616035908799, -1,-1,NULL
1616035908814, -1,-1,NULL
1616035908829, -1,-1,NULL
1616035908844, -1,-1,NULL
1616035908859, -1,-1,NULL
1616035908874, -1,-1,NULL
1616035908896, -1,-1,NULL
1616035908911, -1,-1,NULL
1616035908926, -1,-1,NULL
1616035908940, -1,-1,NULL
1616035908955, -1,-1,NULL
1616035908970, -1,-1,NULL
1616035908988, -1,4.144119,NULL
1616035909002, -1,4.33255,NULL
1616035909017, -1,4.505005,NULL
1616035909033, -1,4.393372,NULL
1616035909048, -1,4.379883,NULL
1616035909064, -1,4.240463,NULL
1616035909080, 4.802582,4.086563,NULL
1616035909094, 4.916138,4.304977,NULL
1616035909109, 4.922821,4.482254,NULL
1616035909124, 4.924423,4.333481,NULL
1616035909138, 4.978653,4.691528,NULL
1616035909155, 4.995621,4.688705,Obstacle1
1616035909170, 4.976364,4.873611,NULL
1616035909185, 4.97113,4.65361,NULL
1616035909202, 4.932373,4.501617,NULL
1616035909217, 4.862762,4.499237,NULL
1616035909233, 4.883148,4.698318,Obstacle1
1616035909248, 5.023209,4.665543,Obstacle1
1616035909265, 4.988998,4.68985,Obstacle1
1616035909288, 4.986847,4.66095,NULL
1616035909310, 4.826599,4.562057,Obstacle1
1616035909332, 4.765884,4.556732,NULL
1616035909355, 4.690231,4.48262,NULL
1616035909378, 4.771927,4.463409,NULL
1616035909399, 4.726944,4.465805,NULL
1616035909425, 4.789932,4.520889,NULL
1616035909443, 4.985901,4.550903,NULL
1616035909466, 4.797211,4.524307,NULL
1616035909488, 4.878021,4.415085,NULL
1616035909510, 4.800522,4.256348,NULL
1616035909533, 4.51326,4.195251,NULL
1616035909555, 4.41301,4.850082,NULL
1616035909577, 4.335831,3.93013,NULL
1616035909599, 4.267639,3.759888,NULL
1616035909621, 4.195038,4.251907,NULL
1616035909647, 4.350204,4.0896,NULL
1616035909665, 3.894882,4.148285,NULL
1616035909680, 3.844208,-1,NULL
1616035909694, -1,-1,NULL
1616035909709, -1,-1,NULL
1616035909724, -1,-1,NULL
1616035909739, -1,-1,NULL
1616035909761, -1,-1,NULL
1616035909776, 4.15274,-1,NULL
1616035909791, 4.065399,-1,NULL
1616035909806, 3.99028,4.011932,NULL
1616035909821, 4.103729,4.047913,NULL
1616035909836, 4.13681,4.003952,NULL
1616035909855, 4.030121,4.114822,NULL
1616035909870, 4.117996,3.812943,NULL
1616035909885, 4.037689,3.704163,NULL
1616035909899, 4.032532,3.995758,NULL
1616035909914, 3.979248,3.830811,Obstacle1
1616035909929, 4.220474,4.159851,NULL
1616035909944, 4.161194,4.07872,NULL
1616035909959, 4.199814,3.694672,NULL
1616035909975, 4.226227,3.81517,NULL
1616035909990, 4.16449,3.806976,NULL
1616035910007, 4.225494,3.841949,NULL
1616035910022, 4.104111,3.926163,NULL
